word,pos,ipa,meaning
accident,n,/ˈæk.sə.dənt/,"tai nạn, sự tình cờ"
accurate,adj,/ˈæk.jɚ.ət/,"đúng đắn, chính xác"
adapter,n,/əˈdæp.tɚ/,thiết bị chuyển đổi
adjustment,n,/əˈdʒʌst.mənt/,"sự điều chỉnh, sự thay đổi"
amend,v,/əˈmend/,"sửa chữa, cải tạo"
appliance,n,/əˈplaɪ.əns/,"thiết bị, dụng cụ"
assemble,v,/əˈsem.bəl/,"lắp ráp, thu thập"
careless,adj,/ˈker.ləs/,"bất cẩn, cẩu thả"
cover,v,/ˈkʌvər/,che phủ; bao gồm
consequence,n,/ˈkɑːnsɪkwens/,"kết quả, hậu quả"
"characteristic(adj, n)",,/ˌker.ək.təˈrɪs.tɪk/,đặc thù (adj) đặc điểm (n)
expiration,n,/ˌek.spəˈreɪ.ʃən/,sự hết hạn
frequently,adv,/ˈfriːkwəntli/,thường xuyên
imply,v,/ɪmˈplaɪ/,"ngụ ý, hàm ý"
"promise (n, v)",,/ˈprɑːmɪs,"lời hứa, sự cam đoan (n) hứa, cam kết (v)"
require,v,/rɪˈkwaɪər/,"đòi hỏi, yêu cầu"
reputation,n,/ˌrepjuˈteɪʃn/,"danh tiếng, thanh danh"
variety,n,/vəˈraɪəti/,sự đa dạng
avoid,v,/əˈvɔɪd/,"phòng tránh, ngăn ngừa"
"address (n, v)",,/əˈdres/,trình bày (v) bài diễn văn (n)
chain store,n,/ˈtʃeɪn ˌstɔːr/,"cửa hàng theo chuỗi, hệ thống cửa hàng"
"charge (n, v)",,/tʃɑːrdʒ/,"chi phí, tiền công (n) tính giá, đòi trả (v)"
client,n,/ˈklaɪ.ənt/,khách hàng
commission,n,/kəˈmɪʃ.ən/,"hội đồng, ủy ban; tiền hoa hồng"
company,n,/ˈkʌm.pə.ni/,"công ty; bạn bè, bằng hữu"
compensate,v,/ˈkɑːm.pən.seɪt/,"đền bù, bồi thường"
competitor,n,/kəmˈpet̬.ə.t̬ɚ/,"người cạnh tranh, đối thủ"
develop,v,/dɪˈveləp/,phát triển
demonstrate,v,/ˈdemənstreɪt/,"chứng minh, giải thích"
evaluate,v,/ɪˈvæljueɪt/,"đánh giá, ước lượng"
offer,v,/ˈɔːfər/,"đề xuất, đề nghị"
substitution,n,/ˌsʌb.stəˈtuː.ʃən/,sự thay thế
primarily,adv,/praɪˈmerəli/,"ưu tiên, chủ yếu"
strengthen,v,/ˈstreŋθn/,"làm mạnh, củng cố"
strategy,n,/ˈstrætədʒi/,chiến lược
risk,n,/rɪsk/,"rủi ro, nguy cơ"
gather,v,/ˈɡæðər/,"tập hợp, thu thập"
attend,v,/əˈtend/,"tham gia, tham dự"
association,n,/əˌsoʊ.siˈeɪ.ʃən/,"liên hiệp, đoàn thể; sự liên hiệp"
arrangement,n,/əˈreɪndʒ.mənt/,"sự sắp xếp, sắp đặt"
accommodate,v,/əˈkɑːmədeɪt/,cung cấp chỗ
"book (n, v)",,/bʊk/,"cuốn sách (n) đặt phòng, đặt vé (v)"
bulletin,n,/ˈbʊl.ə.t̬ɪn/,"bảng thông báo, tập san"
cafeteria,n,/ˌkæf.əˈtɪr.i.ə/,quán ăn tự phục vụ
cancellation,n,/ˌkæn.səlˈeɪ.ʃən/,"sự xóa bỏ, bãi bỏ"
candidacy,n,/ˈkæn.dɪ.də.si/,sự ứng cử
capacity,n,/kəˈpæs.ə.t̬i/,"năng lực, sức chứa"
celebration,n,/ˌsel.əˈbreɪ.ʃən/,lễ kỷ niệm
hold,v,/həʊld/,"tiến hành, tổ chức; chứa, đựng"
location,n,/loʊˈkeɪ.ʃən/,"vị trí, địa điểm"
overcrowded,adj,/oʊvərˈkraʊdɪd/,"quá đông đúc, chật kín"
"register (n, v)",,/ˈredʒɪstər/,"hồ sơ, sổ sách (n) đăng ký (v)"
session,n,/ˈseʃn/,cuộc họp
select,v,/sɪˈlekt/,lựa chọn
take part in,v,/teɪk pɑrt ɪn/,tham gia vào
allocate,v,/ˈæləkeɪt/,"phân phát, cấp cho"
"access (n,v)",,/ˈækses/,truy cập (v) quyền truy cập (n)
administration,n,/ədˌmɪn.əˈstreɪ.ʃən/,"sự quản lý, quản trị"
compatible with something,adj,/kəmˈpætəbl/,"tương thích, tương xứng với cái gì"
connect,v,/kəˈnekt/,"nối lại, kết nối"
"control (n, v)",,/kənˈtroʊl/,"sự điều khiển, cầm lái; điều khiển, chỉ huy, kiểm soát"
control panel,n,/kənˈtroʊl ˌpæn.əl/,bảng điều khiển
cycle,n,/ˈsaɪ.kəl/,"chu kỳ, chu trình"
"duplicate (v, n)",,ˈduː.plə.keɪt/,"sao chép, nhân đôi (v) bản sao (n)"
"display (n,v)",,/dɪˈspleɪ/,"sự trưng bày, vật trưng bày (n) trưng bày, hiển thị (v)"
delete,v,/dɪˈliːt/,xóa
detect,v,/dɪˈtekt/,"dò ra, tìm ra, phát hiện"
failure,n,/ˈfeɪ.ljɚ/,sự thất bại
ignore,v,/ɪɡˈnɔːr/,phớt lờ
shut down,v,/ʃʌt daʊn/,tắt
"search (n, v)",,/sɜːrtʃ/,sự tìm kiếm (n) tìm kiếm (v)
warning,n,/ˈwɔːr.nɪŋ/,"lời cảnh báo, sự cảnh báo"
figure out,v,/ˈfɪɡjər aʊt/,"hiểu ra, tìm ra"
as needed,adv,/æz niːdɪd/,khi cần thiết
affordable,adj,/əˈfɔːr.də.bəl/,"có khả năng chi trả, (giá cả) phải chăng"
be in charge of,v,/ɪn tʃɑːrdʒ əv/,chịu trách nhiệm về
capacity,n,/kəˈpæsəti/,"sức chứa, dung lượng"
classify,v,/ˈklæs.ə.faɪ/,phân loại
durable,adj,/ˈdʊrəbl/,bền
deliver,v,/dɪˈlɪv.ɚ/,"phân phối, giao hàng, đem tới phát biểu"
device,n,/dɪˈvaɪs/,"thiết bị, máy móc phương sách"
disconnect,v,/ˌdɪs.kəˈnekt/,ngắt kết nối
file,n,/faɪl/,"hồ sơ, túi đựng tài liệu"
folder,n,/ˈfoʊl.dɚ/,"bìa cứng, xấp tài liệu"
initiative,n,/ɪˈnɪʃ.ə.t̬ɪv/,"sáng kiến sự chủ động, thế chủ động"
provider,n,/prəˈvaɪ.dɚ/,nhà cung cấp
physically,adv,/ˈfɪz.ɪ.kəl.i/,về mặt thể chất
reduction,n,/rɪˈdʌk.ʃən/,sự giảm sút
recur,v,/rɪˈkɜːr/,tái diễn
"stock (v, n)",,/stɑːk/,"hàng tồn, cổ phần (n) tích trữ (v)"
stay on top of,v,/steɪ ɔːn tɑːp əv/,nắm bắt tình hình
appreciation,n,/əˌpriː.ʃiˈeɪ.ʃən/,"sự cảm kích, sự ghi nhận"
bring,someone,/brɪŋ ɪn/,giới thiệu ai một công việc gì đó
be made of,v,/bi meɪd əv/,"làm bằng, bao gồm"
code,n,/koʊd/,"quy tắc, luật lệ"
casually,adv,/ˈkæʒ.uː.ə.li/,bình thường
expose,v,/ɪkˈspoʊz/,"phơi bày, bộc lộ"
functional,adj,/ˈfʌŋk.ʃən.əl/,(thuộc) chức năng
"glimpse (v,n)",,/ɡlɪmps/,"liếc, nhìn thoáng qua (v)cái nhìn thoáng qua (n)"
gesture,n,/ˈdʒes.tʃɚ/,"điệu bộ, cử chỉ"
guideline,n,/ˈɡaɪd.laɪn/,"quy tắc, nguyên tắc"
head office,n,/ˌhed ˈɑː.fɪs/,"cơ quan đầu não, tổng công ty"
"implement (n, v)",,/ˈɪm.plə.ment/,"dụng cụ, phương tiện; thi hành, thực hiện, áp dụng"
outdated,adj,/aʊtˈdeɪtɪd/,"lỗi thời, lạc hậu"
out of,adj,/aʊt əv/,"hết, không còn"
"practice (n,v)",,/ˈpræktɪs/,luyện tập (v)sự luyện tập (n)
reinforce,v,/riːɪnˈfɔːrs/,"tăng cường, củng cố"
verbally,adv,/ˈvɝː.bəl.i/,bằng lời nói
assemble,v,/əˈsem.bəl/,"lắp ráp, thu thập"
attachment,n,/əˈtætʃ.mənt/,"sự gắn thêm, phần kèm thêm"
browser,n,/ˈbraʊ.zɚ/,trình duyệt
capacity,n,/kəˈpæs.ə.t̬i/,"năng lực, sức chứa"
connect,v,/kəˈnekt/,"nối lại, kết nối"
device,n,/dɪˈvaɪs/,"thiết bị, máy móc"
disconnect,v,/ˌdɪs.kəˈnekt/,ngắt kết nối
"process (n, v)",,/ˈproʊses/,quá trình (n)xử lý (v)
popularity,n,/ˌpɑː.pjəˈler.ə.t̬i/,tính phổ biến
"network (n, v)",,/ˈnetwɜːrk/,mạng lưới (n)kết nối (v)
facilitate,v,/fəˈsɪlɪteɪt/,làm cho dễ dàng
revolution,n,/ˌrev.əˈluː.ʃən/,cuộc cách mạng
replace,v,/rɪˈpleɪs/,thay thế
skill,n,/skɪl/,kỹ năng
sharp,adj,/ʃɑːrp/,"thông minhsắc bén, nhọn"
store,v,/stɔːr/,"lưu trữ, chứa"
software,n,/ˈsɔːftwer/,phần mềm
technical,adj,/ˈteknɪkl/,"thuộc về kĩ thuật, chuyên môn"
assemble,v,/əˈsembl/,"lắp ráp, thu thập"
beforehand,adv,/bɪˈfɔːrhænd/,"trước, có sẵn"
courier,n,/ˈkʊriər/,người đưa thư
complication,n,/ˌkɑːm.pləˈkeɪ.ʃən/,sự phức tạp
distribute,v,/dɪˈstrɪb.juːt/,phân phát
distribute,v,/dɪˈstrɪb.juːt/,"phân phát, phân bổ"
document,n,/ˈdɑː.kjə.mənt/,"văn kiện, tài liệu; dẫn chứng tư liệu"
express,adj,/ɪkˈspres/,"nhanh, hỏa tốc"
enroll,v,/ɪnˈrəʊl/,"đăng ký, ghi tên"
fold,v,/foʊld/,gấp lại
fax,n,/fæks/,bản fax
"fold (v, n)",,/foʊld/,"gấp, vén (v)nếp gấp (n)"
handy,adj,/ˈhæn.di/,"thuận tiện, sẵn tiện"
"highlight (n, v)",,/ˈhaɪ.laɪt/,điểm nổi bật; làm nổi bật
identification,n,/aɪˌden.t̬ə.fəˈkeɪ.ʃən/,"sự phát hiện, nhận diện"
layout,n,/ˈleɪaʊt/,"cách trình bày, sự bố trí"
"mention (n, v)",,/ˈmenʃn/,đề cập (v) sự đề cập (n)
"proof (n, v)",,/pruːf/,bằng chứng (n) (= evidence) chứng minh (v)
"petition (n, v)",,/pəˈtɪʃn/,kiến nghị (v) đơn kiến nghị (n)
revise,v,/rɪˈvaɪz/,"sửa lại, xem lại"
abundant,adj,/əˈbʌndənt/,"nhiều, dư thừa"
accomplishment,n,/əˈkɑːm.plɪʃ.mənt/,thành tựu
bring together,v,/brɪŋ təˈɡeðə/,gộp lại
candidate,n,/ˈkændɪdət/,"ứng viên, thí sinh"
come up with,v,/kʌm ʌp wɪθ/,"đưa ra, nghĩ ra"
commensurate with,adj,/kəˈmenʃərət /wɪð/,tương xứng với
improper,adj,/ɪmˈprɑː.pɚ/,"không thích hợp, không phù hợp"
improve,v,/ɪmˈpruːv/,cải thiện
include,v,/ɪnˈkluːd/,"bao gồm, gồm có"
income,n,/ˈɪn.kʌm/,"thu nhập, lợi tức"
inconvenience,n,/ˌɪn.kənˈviːn.jəns/,"sự bất tiện, phiền hà"
"individual (n, v)",,/ˌɪn.dəˈvɪdʒ.u.əl/,"cá nhân; riêng lẻ, tách biệt"
"match (n, v)",,/mætʃ/,"hợp, xứng (v) sự tương xứng (n)"
profile,n,/ˈproʊfaɪl/,lý lịch
qualification,n,/kwɑː.lə.fəˈkeɪ.ʃən/,"năng lực, trình độ, tố chất"
"recruit (n, v)",,/rɪˈkruːt/,tuyển dụng (v) nhân viên mới (n)
submit,n,/səbˈmɪt/,nộp
time-consuming,adj,/ˈtaɪmkənsuː.mɪŋ/,tốn thời gian
apply for,v,/əˈplaɪ foː/,ứng tuyển vào
ability,n,/əˈbɪləti/,"khả năng, năng lực"
background,n,/ˈbækɡraʊnd/,"lý lịch, nền tảng"
constantly,adv,/ˈkɑːn.stənt.li/,"liên tục, không ngừng"
confidence,n,/ˈkɑːnfɪdəns/,sự tự tin
call in,v,/kɔːl ɪn/,"mời tới, gọi vào làm việc"
"expert (n, adj)",,/ˈekspɜːrt/,"chuyên gia, chuyên viên"
follow up,v,/ˈfɑːloʊ ʌp/,"bám sát, tiếp tục việc gì đó"
hesitate,v,/ˈhezɪteɪt/,"lưỡng lự, do dự"
inexperienced,adj,/ˌɪn.ɪkˈspɪr.i.ənst/,thiếu kinh nghiệm
intently,adv,/ɪnˈtent.li/,"chăm chú, chú ý"
intern,n,/ɪnˈtɝːn/,thực tập sinh
internal,adj,/ɪnˈtɝː.nəl/,"bên trong, nội bộ"
"interview (n, v)",,/ˈɪntərvjuː/,buổi phỏng vấn (n) phỏng vấn (v)
international,adj,/ˌɪn.t̬ɚˈnæʃ.ən.əl/,"quốc tế, đa quốc gia"
invite,v,/ɪnˈvaɪt/,"mời, rủ"
"present (v, adj)",,/prɪˈzent/,"có mặt (adj) trình bày, nêu ra (v)"
weaken,v,/ˈwiːkən/,làm yếu đi
generate,v,/ˈdʒenəreɪt/,"tạo ra, sản xuất ra"
"hire (v, n)",,/ˈhaɪər/,"thuê, mướn (v) nhân viên, người làm thuê (n)"
join,v,/dʒɔɪn/,"nối, ghép tham gia"
knowledge,n,/ˈnɑː.lɪdʒ/,"kiến thức, sự hiểu biết"
keep up with,v,/kiːp ʌp wɪθ/,theo kịp
labor,n,/’leibə/,"lao động, công việc chân tay"
"lack (n, v)",,/læk/,"sự thiếu, thiếu sót"
look up to somebody,v,/lʊk ʌp tuː/,"tôn trọng, ngưỡng mộ ai đó"
law,n,/lɑː/,"luật, nội quy, quy định"
log on,v,/lɔg/,kết nối với hệ thống
mentor,n,/ˈmentɔːr/,cố vấn
on track,n,/ɔːn træk/,theo đúng kế hoạch
"reject (n, v)",,/rɪˈdʒekt/,"đồ thừa, phế phẩm (n) từ chối (v)"
success,n,/səkˈses/,sự thành công
set up,v,/set ʌp/,"thiết lập, sắp xếp"
train,v,/treɪn/,"đào tạo, huấn luyện"
"update (n, v)",,/ˌʌpˈdeɪt/,cập nhật (v) thông tin mới nhất (n)
conduct,v,/kənˈdʌkt/,"tiến hành, thực hiện"
be aware of,v,/biː əˈwer ɒv/,"biết được, nhận thức được"
basis,n,/ˈbeɪsɪs/,"cơ sở, căn cứ"
benefit,n,/ˈbenɪfɪt/,"lợi ích, phúc lợi"
compensate,v,/ˈkɑːmpenseɪt/,"đền bù, bồi thường"
delicate,adj,/ˈdel.ə.kət/,"tế nhị, khôn khéo tinh vi, tinh xảo"
eligible,adj,/ˈelɪdʒəbl/,đủ tiêu chuẩn
flexibly,adv,/ˈflek.sə.bli/,một cách linh hoạt
million,n,/´miljən/,một triệu
motivate,v,/´mouti¸veit/,"thúc đẩy, làm động cơ thúc đẩy"
notice,n,/’nәƱtis/,thông báo
obligation,n,"/,ɔbli’geiʃn/",nghĩa vụ; bổn phận
obtain,v,/əb’teɪn/,"đạt được, giành được, thu được"
obviously,adv,/’ɔbviəsli/,một cách rõ ràng
opportunity,n,/ɒpərˈtyunɪti/,"cơ hội, thời cơ, dịp may"
overtime,adj,/´ouvətaim/,"quá giờ, ngoài giờ (quy định)"
particularly,adv,/pə´tikjuləli/,"đặc biệt, đặc thù; cá biệt, riêng biệt"
payment,n,/’peim(ə)nt/,"sự trả tiền, số tiền trả; sự bồi thường, tiền bồi thường"
permission,n,/pə’miʃn/,"sự cho phép, sự chấp nhận; giấy phép"
personal,adj,/’pə:snl/,"cá nhân, tư, riêng"
achievement,n,/əˈtʃiːv.mənt/,thành tựu
accomplish,v,/əˈkɑːm.plɪʃ/,"hoàn thành, thực hiện"
accurate,adj,/ˈæk.jɚ.ət/,"đúng đắn, chính xác"
acquire,v,/əˈkwaɪɚ/,"thu nạp được, giành được"
"advance (n, v)",,/ədˈvæns/,sự tiến lên (n) tiến lên phía trước (v)
advantage,n,/ədˈvæn.t̬ɪdʒ/,lợi thế
afford,v,/əˈfɔːrd/,"có khả năng, đủ điều kiện; ban phát, cấp phát"
appoint,v,/əˈpɔɪnt/,"bổ nhiệm, chỉ định"
contribute,v,/kənˈtrɪbjuːt/,đóng góp
dedicate to,n,/ˈdedɪkeɪt tuː/,cống hiến cho
loyal,adj,/ˈlɔɪ.əl/,trung thành
look to somebody,v,/lʊk tuː/,trông cậy vào ai
looking forward to V-ing,v,/lʊk ˈfɔːrwərd tuː/,"trông mong, mong đợi"
"merit (n, v)",,/ˈmerɪt/,"xứng đáng, có công (v) công lao (n)"
obviously,adv,/ˈɑːb.vi.əs.li/,"rõ ràng, hiển nhiên"
promote,v,/prəˈməʊt/,đẩy mạnh thăng chức
productive,adj,/prəˈdʌk.tɪv/,"có hiệu quả, có năng suất"
recognition,n,/ˌrek.əɡˈnɪʃ.ən/,sự công nhận
"value (n, v)",,/ˈvæljuː/,định giá (v) giá trị (n)
accounting,n,/əˈkaʊn.t̬ɪŋ/,"sự tính toán, thanh toán"
advertisement,n,/æd.vɝːˈtaɪz.mənt/,bản tin quảng cáo
behavior,n,/bɪˈheɪ.vjər/,"thái độ, hành vi"
bear,v,/ber/,"chịu đựng, cam chịu"
"bargain (n, v)",,/ˈbɑːrɡən/,món hời (n) mặc cả (v)
backpack,n,/ˈbæk.pæk/,ba lô đeo sau lưng
bar code,n,/ˈbɑːr ˌkoʊd/,mã vạch
"comfort (n, v)",,/ˈkʌmfərt/,sự thoải mái (n) an ủi (v)
checkout,n,/tʃek aʊt əv/,"quầy thanh toán, thủ tục thanh toán"
"charge (n, v)",,/tʃɑːrdʒ/,"chi phí, tiền công; tính giá, đòi trả"
explore,v,/ɪkˈsplɔːr/,"khám phá, thăm dò"
expand,v,/ɪkˈspænd,mở rộng
item,n,/ˈaɪtəm/,"món hàng, món đồ"
"merchandise (n, v)",,/ˈmɜːrtʃəndaɪz/,buôn bán (v) hàng hóa (n)
mandatory,adj,/ˈmændətɔːri/,bắt buộc
strictly,adv,/ˈstrɪkt.li/,một cách nghiêm khắc
trend,,/trend/,xu hướng
commonly,adv,/ˈkɑː.mən.li/,"thông thường, bình thường"
classify,v,/ˈklæs.ə.faɪ/,phân loại
cheap,adj,/tʃiːp/,rẻ tiền
consistent,adj,/kənˈsɪstənt/,"đều đặn, nhất quán"
compare,v,/kəmˈper/,"so sánh, đối chiếu"
"compromise (n, v)",,/ˈkɑːm.prə.maɪz/,"sự thỏa hiệp (n) dàn xếp, thỏa hiệp (v)"
diversify,v,/daɪˈvɜːrsɪfaɪ/,đa dạng hóa
"demand (n, v)",,/dɪˈmænd/,sự đòi hỏi; yêu cầu
demanding,adj,/dɪˈmæn.dɪŋ/,"yêu cầu cao, đòi hỏi khắt khe"
essentially,adv,/ɪˈsen.ʃəl.i/,"một cách thiết yếu, về cơ bản"
enterprise,n,/ˈentərpraɪz/,dự án lớn doanh nghiệp
"function (n, v)",,/ˈfʌŋkʃn/,"có vai trò (v) nhiệm vụ, chức năng (n)"
maintain,v,/meɪnˈteɪn/,duy trì
obtain,v,/əbˈteɪn/,"đạt được, giành được"
prerequisite,n,/ˌpriːˈrekwəzɪt/,điều kiện tiên quyết
quality,n,/ˈkwɑːləti/,chất lượng (sản phẩm) phẩm chất (người)
smooth,adj,/smuːð/,"suôn sẻ, trơn tru"
stationery,n,/ˈsteɪʃəneri/,văn phòng phẩm
source,n,/sɔːrs/,nguồn
accurately,adv,/ˈæk.jɚ.ət.li/,một cách chính xác
carrier,,/ˈkæriər/,"người vận chuyển, bên vận chuyển"
catalog,n,/ˈkætəlɔːɡ/,"bản liệt kê, danh mục sản phẩm"
cautious,adj,/ˈkɑː.ʃəs/,"thận trọng, cẩn thận"
fulfill,v,/fʊlˈfɪl/,hoàn thành
inventory,n,/ˈɪnvəntɔːri/,bản kiểm kê hàng hóa hàng tồn
integral,adj,/ˈɪn.t̬ə.ɡrəl/,không thể thiếu
immediate,adj,/ɪˈmiː.di.ət/,"ngay lập tức, trực tiếp"
inventory,n,/ˈɪn.vən.tɔːr.i/,"sự kiểm kê, bản kiểm kê"
invoice,n,/ˈɪn.vɔɪs/,hóa đơn
itemize,v,/ˈaɪ.t̬ə.maɪz/,"trình bày thành từng khoản, từng món"
minimize,v,/ˈmɪnɪmaɪz/,giảm thiểu
on hand,adj,/ɒn hænd/,có sẵn
"supply (n, v)",,/səˈplaɪ/,"nguồn cung, sự cung cấp (n) cung cấp (v)"
sufficiently,adv,/səˈfɪʃ.ənt.li/,đủ
ship,v,/ʃɪp/,vận chuyển
receive,v,/rɪˈsiːv/,nhận
customer,n,/ˈkʌstəmər/,khách mua hàng
compile,v,/kəmˈpaɪl/,"biên soạn, soạn"
"charge (n, v)",,/tʃɑːrdʒ/,tiền phí (n) tính phí (v)
dispute,v,/dɪˈspjuːt/,tranh cãi
"discount (n, v)",,/dɪsˈkaʊnt/,sự giảm giá (n) giảm giá (v)
estimate,v,/ˈestɪmeɪt/,ước tính
efficient,adj,/ɪˈfɪʃ.ənt/,hiệu quả
impose,v,/ɪmˈpəʊz/,"áp đặt, ép buộc"
label,n,/’leɪbl/,"nhãn, nhãn hiệu"
"lack (n, v)",,/læk/,"sự thiếu, thiếu sót"
liability,n,"/,laiə’biliti/","trách nhiệm pháp lý, nghĩa vụ pháp lý"
list,n,/list/,"danh sách, sổ, bản kê khai"
mandatory,adj,/’mændətəri/,có tính cách bắt buộc
merchandise,n,/´mə:tʃən¸daiz/,hàng hóa
mistake,n,/mɪˈsteɪk/,"lỗi, nhầm lẫn"
prompt,adj,/ˈprɑːmpt/,"nhanh, đúng giờ"
rectify,v,/ˈrektɪfaɪ/,"sửa chữa, sửa lỗi"
terms,n,/tɜːrmz/,điều khoản (hợp đồng)
adjustment,n,/əˈdʒʌst.mənt/,sự điều chỉnh
automatic,adj,/ˌɑː.t̬əˈmæt̬.ɪk/,tự động
crucial,adj,/ˈkruːʃl,"cốt yếu, quan trọng"
discrepancy,n,/dɪsˈkrepənsi/,"sự khác nhau, không nhất quán"
disturb,v,/dɪˈstɜːrb/,"làm phiền, quấy rầy"
install,v,/ɪnˈstɔːl/,"lắp đặt, cài đặt"
merger,n,/´mə:dʒə/,sự liên doanh liên kết
misrepresent,v,/¸misrepri´zent/,"trình bày sai, miêu tả sai"
operation,n,"/,ɔpə’reiʃn/",sự hoạt động; quá trình hoạt động
package,n,/pæk.ɪdʒ/,"gói đồ, bưu kiện; hộp để đóng hàng, thùng hàng"
parcel,n,/’pɑ:s(ə)l/,gói; bưu kiện
reflection,n,/rɪˈflek.ʃən/,sự phản chiếu
run,v,/rʌn/,"điều hành, vận hành"
scan,v,/skæn/,"đọc lướt, xem lướt"
subtract,v,/səbˈtrækt/,trừ đi
tedium,n,/ˈtiːdiəm/,"sự buồn tẻ, sự nhạt nhẽo"
verify,v,/ˈverɪfaɪ/,"xác minh, kiểm chứng"
accept,n,/əkˈsept/,"nhận, chấp nhận"
borrow,v,/ˈbɑːroʊ/,"vay, mượn"
balance,n,/ˈbæləns/,"sự cân bằng, số dư tài khoản"
cautiously,adv,/ˈkɑː.ʃəs.li/,một cách cẩn thận
down payment,n,/daʊn ˈpeɪmənt/,"tiền cọc, tiền trả trước"
dividend,n,/ˈdɪvɪdend/,"cổ tức, tiền lãi cổ phần"
deduct,v,/dɪˈdʌkt/,khấu trừ
"mortgage (n, v)",,/ˈmɔːrɡɪdʒ/,"sự cầm cố, sự thế chấp (n) cầm cố, thế chấp (v)"
persuade,v,/pə’sweid/,thuyết phục
point,n,/pɔint/,điểm
policy,n,/pɔlisi/,chính sách
postponement,n,/poust´pounmənt/,sự trì hoãn; trường hợp bị trì hoãn
potential,adj,/pəˈtenʃl/,tiềm năng; tiềm tàng
predictable,adj,/pri’diktəbl/,"có thể đoán trước, có thể dự đoán, dự báo"
restricted,adj,/rəˈstriktəd/,bị hạn chế
signature,n,/ˈsɪɡ.nə.tʃɚ/,chữ ký
transaction,n,/trænˈzæk.ʃən/,giao dịch
take out,v,/teɪk aʊt/,rút tiền
audit,v,/ˈɔːdɪt/,kiểm toán
asset,n,/ˈæset/,tài sản
accumulate,v,/əˈkjuːmjəleɪt/,"tích lũy, gom góp"
accounting,n,/əˈkaʊntɪŋ/,công việc kế toán
adjust,v,/əˈdʒʌst/,điều chỉnh
build up,v,/bɪld ʌp/,"tăng cường, phát triển dần"
"budget (n, v)",,/ˈbʌdʒɪt/,lên ngân sách (v) ngân sách (n)
"bargain (n, v)",,/ˈbɑːr.ɡɪn/,"sự mặc cả, món hời (n) mặc cả, thương lượng (v)"
client,n,/ˈklaɪənt/,khách hàng
debt,n,/det/,"món nợ, khoản nợ"
debit,n,/ˈdeb.ɪt/,món nợ; ghi nợ
definite,adj,/ˈdef.ən.ət/,"xác định rõ, rõ ràng"
"deposit (n, v)",,/dɪˈpɑː.zɪt/,tiền cọc; đặt cọc
differential,adj,/ˌdɪf.əˈren.ʃəl/,"khác biệt, chênh lệch"
outstanding,adj,/aʊtˈstændɪŋ/,"chưa giải quyết, chưa thanh toán"
profitable,adj,/ˈprɑː.fɪ.t̬ə.bəl/,có lời
reconcile,v,/ˈrekənsaɪl/,hòa giải
turnover,n,/ˈtɜːrnoʊvər/,"doanh thu, doanh số"
attitude,n,/ˈætɪtuːd/,thái độ
aggressive,adj,/əˈɡresɪv/,"hùng hổ, xông xáo"
